,x,y,z,yaw,pitch,robot_x,robot_y,robot_z
2247,225.54107968731373,217.02585415908584,0,0.7661600000000001,0,0.0,0.0,0.0
2249,224.1737188067148,218.4379632673038,0,0.7724400000000001,0,0.0,0.0,0.0
2251,224.221143208466,221.2461953080518,0,0.77872,0,0.0,0.0,0.0
2253,222.8273047876679,222.6499320481903,0,0.785,0,0.0,0.0,0.0
2255,223.53348490474008,226.17864869687045,0,0.79128,0,0.0,0.0,0.0
2257,222.10868444029296,227.57796970753205,0,0.79756,0,0.0,0.0,0.0
2259,222.0630182576041,230.4083677350347,0,0.80384,0,0.0,0.0,0.0
2261,220.6116843285256,231.7983708694497,0,0.81012,0,0.0,0.0,0.0
2263,219.1516498561905,233.17923227703977,0,0.8164,0,0.0,0.0,0.0
2265,220.40400957710608,237.48278371775697,0,0.8226800000000001,0,0.0,0.0,0.0
2267,218.90828132189569,238.86222884477525,0,0.8289600000000001,0,0.0,0.0,0.0
2269,220.0879187113724,243.19808395070947,0,0.8352400000000001,0,0.0,0.0,0.0
2271,218.55630483965825,244.5754313393608,0,0.84152,0,0.0,0.0,0.0
2273,217.0160714852996,245.94313309602148,0,0.8478000000000001,0,0.0,0.0,0.0
2275,219.40875401546825,251.8249365360384,0,0.8540800000000002,0,0.0,0.0,0.0
2277,218.47514186073397,253.95592607563265,0,0.86036,0,0.0,0.0,0.0
2279,218.170783082556,256.8472491757393,0,0.8666400000000001,0,0.0,0.0,0.0
2281,216.55349082090612,258.2122878820443,0,0.8729199999999999,0,0.0,0.0,0.0
2283,216.84096065817528,261.87782987652787,0,0.8792,0,0.0,0.0,0.0
2285,216.4579386790367,264.78285590804853,0,0.88548,0,0.0,0.0,0.0
2287,216.0469317228325,267.69333815608815,0,0.8917599999999999,0,0.0,0.0,0.0
2289,214.36156835061144,269.0448252880292,0,0.89804,0,0.0,0.0,0.0
2291,213.28597113508636,271.1717067043742,0,0.90432,0,0.0,0.0,0.0
2293,211.57881819571983,272.50578652737363,0,0.9106,0,0.0,0.0,0.0
2295,210.4716204347391,274.6228267853478,0,0.91688,0,0.0,0.0,0.0
2297,208.7428501002841,275.9391645490185,0,0.92316,0,0.0,0.0,0.0
2299,207.00584730886604,277.24461974930813,0,0.92944,0,0.0,0.0,0.0
2301,205.26068056487057,278.53914090132133,0,0.93572,0,0.0,0.0,0.0
2303,201.74290350366164,277.39646876972364,0,0.942,0,0.0,0.0,0.0
2305,198.8307243287528,277.03310824322693,0,0.94828,0,0.0,0.0,0.0
2307,194.7751755547028,275.01205607688314,0,0.95456,0,0.0,0.0,0.0
2309,193.0442703966825,276.2298131393723,0,0.96084,0,0.0,0.0,0.0
2311,191.30575190653008,277.4366761758026,0,0.96712,0,0.0,0.0,0.0
2313,189.55968864840796,278.63259758958327,0,0.9734,0,0.0,0.0,0.0
2315,187.80614948403084,279.81753021564225,0,0.97968,0,0.0,0.0,0.0
2317,164.5147497443479,248.4731315787576,0,0.98596,0,0.0,0.0,0.0
2319,162.951104646109,249.50137774091115,0,0.99224,0,0.0,0.0,0.0
2321,161.3810330381456,250.51978400026803,0,0.9985200000000002,0,0.0,0.0,0.0
2323,124.41163244025842,195.82069786810084,0,1.0048,0,0.0,0.0,0.0
2325,123.17943325108612,196.5981363694509,0,1.01108,0,0.0,0.0,0.0
2327,89.87994098861391,145.47369593120015,0,1.01736,0,0.0,0.0,0.0
2329,88.96459982843483,146.0352696349976,0,1.02364,0,0.0,0.0,0.0
2331,71.56935238658197,119.15883433033932,0,1.0299200000000002,0,0.0,0.0,0.0
2333,67.25317242645876,113.58261662145756,0,1.0362,0,0.0,0.0,0.0
2335,66.53855210822836,114.00272401719434,0,1.04248,0,0.0,0.0,0.0
2337,61.832137465522905,107.48389077645396,0,1.04876,0,0.0,0.0,0.0
2339,60.16953792436001,106.1302346457832,0,1.05504,0,0.0,0.0,0.0
2341,60.47729823456388,108.25200413039758,0,1.06132,0,0.0,0.0,0.0
2343,60.278515682576,109.50571011187242,0,1.0676,0,0.0,0.0,0.0
2345,61.97322113126073,114.2773812380029,0,1.0738800000000002,0,0.0,0.0,0.0
2347,63.61027806045203,119.07448309806756,0,1.0801600000000002,0,0.0,0.0,0.0
2349,66.12071263161855,125.66642893425006,0,1.08644,0,0.0,0.0,0.0
2351,65.33022880199658,126.07918624689316,0,1.09272,0,0.0,0.0,0.0
2353,64.53716846114685,126.48697121449922,0,1.0990000000000002,0,0.0,0.0,0.0
2355,72.71924779951829,144.76156603004907,0,1.10528,0,0.0,0.0,0.0
2357,76.68461772899396,155.0756892738448,0,1.11156,0,0.0,0.0,0.0
2359,80.08549310094865,164.5457802399621,0,1.11784,0,0.0,0.0,0.0
2361,79.0505731766249,165.04546913031896,0,1.12412,0,0.0,0.0,0.0
2363,90.37517789342895,191.77154956022824,0,1.1304,0,0.0,0.0,0.0
2365,96.31942898097688,207.75843569101727,0,1.13668,0,0.0,0.0,0.0
2367,102.06616834180086,223.8269360019548,0,1.14296,0,0.0,0.0,0.0
2369,107.61460916493245,239.97519849825903,0,1.14924,0,0.0,0.0,0.0
2371,106.1054527572194,240.64628169823337,0,1.15552,0,0.0,0.0,0.0
2373,104.59211173397118,241.30787422508303,0,1.1618,0,0.0,0.0,0.0
2375,117.18372276746528,275.0799431408219,0,1.1680799999999998,0,0.0,0.0,0.0
2377,117.77072241451194,281.3450851569367,0,1.1743599999999998,0,0.0,0.0,0.0
2379,116.00156455651044,282.07913255049857,0,1.18064,0,0.0,0.0,0.0
2381,114.22783179744096,282.802055230961,0,1.1869200000000002,0,0.0,0.0,0.0
2383,112.4495940902556,283.513824687504,0,1.1932000000000005,0,0.0,0.0,0.0
2385,110.66692156557396,284.21441284917114,0,1.19948,0,0.0,0.0,0.0
2387,108.87988452891696,284.9037920859772,0,1.2057600000000002,0,0.0,0.0,0.0
2389,107.08855345793448,285.58193520999737,0,1.21204,0,0.0,0.0,0.0
2391,105.29299899962558,286.24881547643974,0,1.21832,0,0.0,0.0,0.0
2393,103.49329196755257,286.9044065847001,0,1.2246,0,0.0,0.0,0.0
2395,101.68950333904796,287.54868267939906,0,1.23088,0,0.0,0.0,0.0
2397,99.88170425241536,288.1816183514018,0,1.23716,0,0.0,0.0,0.0
2399,98.069966004124,288.8031886388202,0,1.24344,0,0.0,0.0,0.0
2401,96.25436004599683,289.4133690279971,0,1.24972,0,0.0,0.0,0.0
2403,94.4349579823924,290.01213545447337,0,1.256,0,0.0,0.0,0.0
2405,92.61183156738127,290.5994643039368,0,1.26228,0,0.0,0.0,0.0
2407,90.78505270191609,291.1753324131533,0,1.26856,0,0.0,0.0,0.0
2409,88.95469343099549,291.7397170708809,0,1.27484,0,0.0,0.0,0.0
2411,87.1208259408234,292.29259601876464,0,1.28112,0,0.0,0.0,0.0
2413,85.28352255596171,292.8339474522152,0,1.2874,0,0.0,0.0,0.0
2415,83.4428557364782,293.36375002126846,0,1.29368,0,0.0,0.0,0.0
2417,81.5988980750884,293.8819828314273,0,1.29996,0,0.0,0.0,0.0
2419,79.75172229429324,294.3886254444861,0,1.30624,0,0.0,0.0,0.0
2421,77.9014012435106,294.8836578793365,0,1.31252,0,0.0,0.0,0.0
2423,76.04800789620246,295.3670606127554,0,1.3188,0,0.0,0.0,0.0
2425,74.19161534699666,295.8388145801752,0,1.32508,0,0.0,0.0,0.0
2427,72.33229680880457,296.2989011764353,0,1.33136,0,0.0,0.0,0.0
2429,70.47012560993328,296.74730225651626,0,1.3376400000000002,0,0.0,0.0,0.0
2431,68.60517519119422,297.1840001362549,0,1.3439200000000002,0,0.0,0.0,0.0
2433,66.73751910300624,297.6089775930422,0,1.3502,0,0.0,0.0,0.0
2435,64.86723100249503,298.0222178665023,0,1.35648,0,0.0,0.0,0.0
2437,62.99438465058844,298.42370465915354,0,1.3627600000000002,0,0.0,0.0,0.0
2439,61.11905390910729,298.8134221370513,0,1.3690400000000005,0,0.0,0.0,0.0
2441,59.2413127378525,299.1913549304124,0,1.37532,0,0.0,0.0,0.0
2443,57.361235191687946,299.5574881342208,0,1.3816000000000002,0,0.0,0.0,0.0
2445,55.47889541762032,299.9118073088166,0,1.3878800000000002,0,0.0,0.0,0.0
2447,53.59436765187463,300.2542984804642,0,1.39416,0,0.0,0.0,0.0
2449,51.70772621696633,300.58494814190425,0,1.40044,0,0.0,0.0,0.0
2451,48.02229305743781,290.0514771027818,0,1.4067200000000002,0,0.0,0.0,0.0
2453,46.19983479611366,290.34733555659125,0,1.413,0,0.0,0.0,0.0
2455,44.375554493213045,290.63174321367563,0,1.41928,0,0.0,0.0,0.0
2457,42.54952409519592,290.90468885748874,0,1.42556,0,0.0,0.0,0.0
2459,40.72181561754272,291.1661617235266,0,1.43184,0,0.0,0.0,0.0
2461,38.89250114191466,291.41615149975155,0,1.43812,0,0.0,0.0,0.0
2463,37.06165281331063,291.6546483269993,0,1.4444,0,0.0,0.0,0.0
2465,35.22934283722205,291.88164279936734,0,1.4506800000000002,0,0.0,0.0,0.0
2467,33.39564347678532,292.0971259645864,0,1.4569599999999998,0,0.0,0.0,0.0
2469,31.560627049931348,292.3010893243731,0,1.46324,0,0.0,0.0,0.0
2471,29.72436592653428,292.4935248347653,0,1.46952,0,0.0,0.0,0.0
2473,27.886932525556784,292.6744249064394,0,1.4758,0,0.0,0.0,0.0
2475,26.048399312194157,292.8437824050094,0,1.48208,0,0.0,0.0,0.0
2477,24.20883879501643,293.00159065130845,0,1.48836,0,0.0,0.0,0.0
2479,21.911827124677696,287.1652343722308,0,1.4946400000000002,0,0.0,0.0,0.0
2481,20.10800922436844,287.2971770920012,0,1.5009200000000005,0,0.0,0.0,0.0
2483,18.30339829895449,287.4177893080208,0,1.5072000000000003,0,0.0,0.0,0.0
2485,16.4980655191696,287.5270662635523,0,1.51348,0,0.0,0.0,0.0
2487,14.69208208421582,287.6250036489016,0,1.51976,0,0.0,0.0,0.0
2489,12.840777832779354,286.7125989988044,0,1.52604,0,0.0,0.0,0.0
2491,11.001514503250853,285.7883249515885,0,1.53232,0,0.0,0.0,0.0
2493,9.20655867919566,285.8517785099238,0,1.5386000000000002,0,0.0,0.0,0.0
2495,7.411239764389965,285.90395856852825,0,1.5448800000000005,0,0.0,0.0,0.0
2497,5.615628563106686,285.9448630695107,0,1.55116,0,0.0,0.0,0.0
2499,3.806439961456308,284.97457959407507,0,1.55744,0,0.0,0.0,0.0
2501,2.016736305303496,284.99286442764645,0,1.56372,0,0.0,0.0,0.0
2503,0.22695311255898,284.99990963557286,0,1.57,0,0.0,0.0,0.0
2505,-1.5628390308237532,284.9957149400035,0,1.57628,0,0.0,0.0,0.0
2507,-3.352569538538158,284.98028050636987,0,1.58256,0,0.0,0.0,0.0
2509,-5.1421678267086826,284.95360694337944,0,1.58884,0,0.0,0.0,0.0
2511,-6.882920767083398,282.91628691490007,0,1.59512,0,0.0,0.0,0.0
2513,-8.659487645225472,282.8674835920916,0,1.6014000000000002,0,0.0,0.0,0.0
2515,-10.43571300815234,282.8075244649822,0,1.60768,0,0.0,0.0,0.0
2517,-12.211526804607995,282.7364118982561,0,1.61396,0,0.0,0.0,0.0
2519,-13.986858999567664,282.6541486964701,0,1.62024,0,0.0,0.0,0.0
2521,-15.761639577000338,282.5607381039424,0,1.62652,0,0.0,0.0,0.0
2523,-17.473834590182214,281.45810541662314,0,1.6328,0,0.0,0.0,0.0
2525,-19.24103530504557,281.3428203462637,0,1.63908,0,0.0,0.0,0.0
2527,-21.007477186756088,281.2164396016846,0,1.6453600000000002,0,0.0,0.0,0.0
2529,-22.69233492958242,280.0822342374533,0,1.6516400000000002,0,0.0,0.0,0.0
2531,-24.45079232592117,279.93420433136544,0,1.6579200000000005,0,0.0,0.0,0.0
2533,-26.208285425301,279.77513430443736,0,1.6642,0,0.0,0.0,0.0
2535,-27.96474491523397,279.6050304301156,0,1.6704800000000002,0,0.0,0.0,0.0
2537,-29.72010152399568,279.423899417003,0,1.67676,0,0.0,0.0,0.0
2539,-31.474286023357685,279.23174840859315,0,1.68304,0,0.0,0.0,0.0
2541,-33.227229231317345,279.0285849829897,0,1.6893200000000002,0,0.0,0.0,0.0
2543,-34.978862014826454,278.8144171526066,0,1.6956000000000002,0,0.0,0.0,0.0
2545,-36.59840669717063,277.5978325333764,0,1.7018800000000005,0,0.0,0.0,0.0
2547,-38.34098793765167,277.36252206086687,0,1.7081600000000003,0,0.0,0.0,0.0
2549,-40.08205707588349,277.1162728902177,0,1.71444,0,0.0,0.0,0.0
2551,-41.8215454471109,276.8590947330704,0,1.72072,0,0.0,0.0,0.0
2553,-43.55938444892108,276.5909977320865,0,1.727,0,0.0,0.0,0.0
2555,-45.13373588129261,275.3251639160462,0,1.7332800000000002,0,0.0,0.0,0.0
2557,-46.8618765473597,275.036296743648,0,1.7395600000000002,0,0.0,0.0,0.0
2559,-48.58816906206867,274.73658261541334,0,1.7458399999999998,0,0.0,0.0,0.0
2561,-50.13221363968891,273.44242749724225,0,1.75212,0,0.0,0.0,0.0
2563,-51.84843223310431,273.1222072167864,0,1.7584,0,0.0,0.0,0.0
2565,-53.36993476937548,271.8099521038783,0,1.76468,0,0.0,0.0,0.0
2567,-55.07583763964647,271.4694312593801,0,1.77096,0,0.0,0.0,0.0
2569,-56.36960763136737,269.16067197026706,0,1.7772400000000002,0,0.0,0.0,0.0
2571,-58.05881398080351,268.8013655455315,0,1.7835199999999998,0,0.0,0.0,0.0
2573,-58.65944458028967,263.55088609513706,0,1.7897999999999998,0,0.0,0.0,0.0
2575,-59.64322792403093,260.2531178733544,0,1.79608,0,0.0,0.0,0.0
2577,-61.2764306484704,259.8734288975754,0,1.80236,0,0.0,0.0,0.0
2579,-62.907216736469735,259.4834909632419,0,1.80864,0,0.0,0.0,0.0
2581,-64.53552187264629,259.0833194488314,0,1.81492,0,0.0,0.0,0.0
2583,-59.47081513659489,232.51499338104836,0,1.8212,0,0.0,0.0,0.0
2585,-56.36008996024588,214.72666406311305,0,1.82748,0,0.0,0.0,0.0
2587,-57.707453174674725,214.36849080052025,0,1.8337600000000005,0,0.0,0.0,0.0
2589,-38.570353033826514,139.77599173980485,0,1.84004,0,0.0,0.0,0.0
2591,-32.918158414468365,116.4362265216456,0,1.84632,0,0.0,0.0,0.0
2593,-29.477394572435525,101.81887452344456,0,1.8526,0,0.0,0.0,0.0
2595,-27.275077705137,92.04384898611498,0,1.85888,0,0.0,0.0,0.0
2597,-27.85257143636761,91.8707475989068,0,1.86516,0,0.0,0.0,0.0
2599,-24.875345871560643,80.23227011477508,0,1.87144,0,0.0,0.0,0.0
2601,-25.37871069568321,80.07447185854437,0,1.87772,0,0.0,0.0,0.0
2603,-25.881074627351374,79.9135156036416,0,1.884,0,0.0,0.0,0.0
2605,-22.92757742091237,69.30603288032052,0,1.89028,0,0.0,0.0,0.0
2607,-22.4022671701008,66.31846217788394,0,1.89656,0,0.0,0.0,0.0
2609,-21.84037536648232,63.34033473112652,0,1.90284,0,0.0,0.0,0.0
2611,-22.23771938066771,63.201929058745314,0,1.90912,0,0.0,0.0,0.0
2613,-22.634186377663447,63.06103081159706,0,1.9154,0,0.0,0.0,0.0
2615,-21.654849633646325,59.16136820040733,0,1.92168,0,0.0,0.0,0.0
2617,-21.326716947692628,57.15042558225616,0,1.92796,0,0.0,0.0,0.0
2619,-20.974208594971376,55.14601140440375,0,1.93424,0,0.0,0.0,0.0
2621,-21.32010967697625,55.01320680856283,0,1.94052,0,0.0,0.0,0.0
2623,-21.66516993073109,54.87823258699706,0,1.9468,0,0.0,0.0,0.0
2625,-22.009375747656264,54.74109406285629,0,1.95308,0,0.0,0.0,0.0
2627,-22.35271355286971,54.60179664464673,0,1.95936,0,0.0,0.0,0.0
2629,-22.695169805722244,54.46034582601761,0,1.9656400000000005,0,0.0,0.0,0.0
2631,-23.036731000331528,54.31674718554458,0,1.97192,0,0.0,0.0,0.0
2633,-23.37738366611486,54.17100638650962,0,1.9782,0,0.0,0.0,0.0
2635,-23.71711436832028,54.02312917667779,0,1.98448,0,0.0,0.0,0.0
2637,-24.055909708556506,53.87312138807048,0,1.9907600000000003,0,0.0,0.0,0.0
2639,-24.3937563253213,53.7209889367354,0,1.9970400000000004,0,0.0,0.0,0.0
2641,-24.730640894528413,53.566737822513325,0,2.00332,0,0.0,0.0,0.0
2643,-25.066550130033157,53.41037412880137,0,2.0096,0,0.0,0.0,0.0
2645,-25.401470784156288,53.251904022313184,0,2.01588,0,0.0,0.0,0.0
2647,-25.735389648206446,53.09133375283567,0,2.02216,0,0.0,0.0,0.0
2649,-26.06829355300123,52.928669652982535,0,2.02844,0,0.0,0.0,0.0
2651,-26.400169369386383,52.763918137944536,0,2.03472,0,0.0,0.0,0.0
2653,-26.731004008753747,52.59708570523647,0,2.041,0,0.0,0.0,0.0
2655,-27.060784423557383,52.42817893444092,0,2.04728,0,0.0,0.0,0.0
